Degree Level,Major,Employer,Job Location
B,Aeronautics & Astronautics,Boeing,WA
B,Aeronautics & Astronautics,Boeing,WA
B,Aeronautics & Astronautics,Boeing,WA
B,Aeronautics & Astronautics,Boeing,WA
B,Aeronautics & Astronautics,Boeing,WA
B,Aeronautics & Astronautics,Cascade Aviation,WA
B,Aeronautics & Astronautics,Lockheed Martin,KY
B,Aeronautics & Astronautics,"Millennium Space Systems, Inc.",CA
B,Aeronautics & Astronautics,"Spaceflight, Inc.",WA
B,Aeronautics & Astronautics,Stark Aerospace,WA
B,Aeronautics & Astronautics,U.S. Air Force,TX
B,Aeronautics & Astronautics,United Technologies Aerospace System,CA
D,Aeronautics & Astronautics,University of Washington,WA
M,Aeronautics & Astronautics,"Andrews Space, Inc.",WA
M,Aeronautics & Astronautics,Boeing,WA
M,Aeronautics & Astronautics,Boeing,WA
M,Aeronautics & Astronautics,International Council on Clean Transportation,CA
M,Aeronautics & Astronautics,Scaled Composites,CA
M,Aeronautics & Astronautics,Stirling Dynamics Inc.,WA
B,Bioengineering,"Applied Precision, Inc",WA
B,Bioengineering,Dendreon,WA
B,Bioengineering,St Jude medical,AZ
B,Bioengineering,University of Washington,WA
D,Bioengineering,Oregon Health & Science University,OR
D,Bioengineering,PATH,WA
D,Bioengineering,"Swift Biosciences, Inc.",MI
D,Bioengineering,Toshiba Medical Research Institute,IL
D,Bioengineering,U.S. Food & Drug Administration,MD
D,Bioengineering,University of Washington,WA
M,Bioengineering,Simulab Corporation,WA
B,Bioresource Science & Engineering,Cosmo Specialty Fibers,WA
B,Bioresource Science & Engineering,Georgia-Pacific/Energy Trust of Oregon,WA
B,Bioresource Science & Engineering,Schlumberger,TX
B,Bioresource Science & Engineering,Sonoco,WI
B,Chemical Engineering,Ashland Chemical Co.,TN
B,Chemical Engineering,Boise inc,WA
B,Chemical Engineering,Dow Chemical,MI
B,Chemical Engineering,EMD Millipore,MA
B,Chemical Engineering,Fred Hutchinson Cancer Research Center,WA
B,Chemical Engineering,GE Water & Process Technologies,WA
B,Chemical Engineering,"Novinium, Inc.",WA
B,Chemical Engineering,"Pyrotek, Inc.",WA
B,Chemical Engineering,Silicon Designs,WA
B,Chemical Engineering,Thermo Fisher Scientific,UT
B,Chemical Engineering,Yokogawa Corporation of America,TX
B,Chemical Engineering,Yokogawa Corporation of America,TX
B,Chemical Engineering,Zodiac Aerospace,WA
D,Chemical Engineering,University of Washington,WA
B,Civil & Environmental Engineering,BergerABAM,WA
B,Civil & Environmental Engineering,"CLE Engineering, Inc",WA
B,Civil & Environmental Engineering,DCI Engineers,WA
B,Civil & Environmental Engineering,Federal Aviation Administration,WA
B,Civil & Environmental Engineering,Harriott Valentine Engineers,WA
B,Civil & Environmental Engineering,King County Department of Natural Resources & Parks,WA
B,Civil & Environmental Engineering,"Lakeside Industries, Inc.",WA
B,Civil & Environmental Engineering,Pacific Engineering & Design,WA
B,Civil & Environmental Engineering,Pacific Northwest National Laboratory,WA
B,Civil & Environmental Engineering,Port of Seattle,WA
B,Civil & Environmental Engineering,"Systems Consulting, LLC",WA
B,Civil & Environmental Engineering,University of Washington,WA
B,Civil & Environmental Engineering,WA State Department of Transportation,WA
B,Civil & Environmental Engineering,WHPacific,WA
D,Civil & Environmental Engineering,NOAA,CO
D,Civil & Environmental Engineering,Norwegian University of Science & Technology,Norway
D,Civil & Environmental Engineering,"University of California, Santa Barbara",CA
D,Civil & Environmental Engineering,World Bank,China
M,Civil & Environmental Engineering,Aisino Corporation Inc,China
M,Civil & Environmental Engineering,CalTrans,CA
M,Civil & Environmental Engineering,CH2M Hill,WA
M,Civil & Environmental Engineering,CHK America,CA
M,Civil & Environmental Engineering,Geotechnical Resources Inc.,OR
M,Civil & Environmental Engineering,Jacobs Engineering Group Inc.,WA
M,Civil & Environmental Engineering,Kleinfelder,WA
M,Civil & Environmental Engineering,L.A. Fuess Partners,MA
M,Civil & Environmental Engineering,Transpgroup,WA
M,Civil & Environmental Engineering,U.S. Environmental Protection Agency,WA
M,Civil & Environmental Engineering,"Wiss, Janney, Elstner",WA
B,Computer Engineering,Amazon,WA
B,Computer Engineering,Amazon,WA
B,Computer Engineering,Amazon,WA
B,Computer Engineering,Amazon,WA
B,Computer Engineering,ComputeNext,WA
B,Computer Engineering,EMC - Isilon Storage Division,WA
B,Computer Engineering,Factset Research Systems,CA
B,Computer Engineering,Google,WA
B,Computer Engineering,LinkedIn,CA
B,Computer Engineering,Microsoft,WA
B,Computer Engineering,Microsoft,WA
B,Computer Engineering,Microsoft,WA
B,Computer Engineering,NetApp,CA
B,Computer Engineering,Tableau Software,WA
B,Computer Engineering,WhitePages,WA
B,Computer Science,Amazon,WA
B,Computer Science,Amazon,WA
B,Computer Science,Amazon,WA
B,Computer Science,Asurion,CA
B,Computer Science,Boeing,WA
B,Computer Science,Cirrus10,WA
B,Computer Science,Clustrix,WA
B,Computer Science,Facebook,CA
B,Computer Science,Facebook,WA
B,Computer Science,Facebook,WA
B,Computer Science,Google,NY
B,Computer Science,Google,WA
B,Computer Science,Google,WA
B,Computer Science,Google,WA
B,Computer Science,Intentional Software,WA
B,Computer Science,Lucidoc,WA
B,Computer Science,Microsoft,WA
B,Computer Science,Microsoft,WA
B,Computer Science,Microsoft,WA
B,Computer Science,Microsoft,WA
B,Computer Science,Microsoft,WA
